N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Reward_std,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_violation,N_goal_reached,N_step_AVG,N_death,N_saved,N_death_by_end,Total_death,N_Total_episodes,N_break,Info_saved
160,644,-1531812290,31.00008201599121,31.00008201599121,31.00008201599121,31.00008201599121,nan,1.0801904201507568,8.168723070411943e-06,-0.0033598202280700207,0.0,0.0,0,0,327.0,0,0,0,0,0,0,
170,684,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,0.783592939376831,4.843582246394362e-08,-0.00012406818859744817,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
180,724,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.0969544649124146,6.058228336769389e-07,0.0007607093430124223,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
190,764,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.0988588333129883,1.1874851679749554e-06,0.0009677750640548766,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
200,804,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.0998814105987549,3.112563717877492e-08,-2.775450047920458e-05,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
210,844,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.0968648195266724,1.540092853247188e-08,-0.00010377939906902611,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
220,884,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.1008540391921997,2.79583218798507e-08,-0.00016080708883237094,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
230,924,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.0997096300125122,8.038136911636684e-08,-0.00023056389181874692,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
240,964,-1531812290,32.000083923339844,32.000083923339844,32.000083923339844,32.000083923339844,nan,1.1006817817687988,1.4630541045335121e-07,0.0002475411747582257,0.0,0.0,0,0,325.0,0,0,0,0,0,0,
250,1004,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6950601935386658,6.827408469689544e-07,0.0003665098047349602,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
260,1044,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6516661047935486,3.4463346310076304e-07,0.00029278581496328115,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
270,1084,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6569291353225708,6.190983185661025e-06,0.0020031421445310116,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
280,1124,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6395150423049927,1.003362513074535e-06,0.0005720147164538503,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
290,1164,-1531812290,32.40007781982422,32.40007781982422,32.40007781982422,32.40007781982422,nan,0.6971567273139954,3.826494321401697e-06,0.00125419395044446,0.0,0.0,0,0,324.0,0,0,0,0,0,0,
